Coverage,Length,Time,Dataset,Method,Algorithm,m
1.0,2.8414020038837906,1.2086654222230955,Boston,OracleCP,RLM,1
0.9,2.844076602150325,0.9908435106559277,Boston,OracleCP,RLM,10
0.96,2.9674306262006116,0.9949721502559582,Boston,OracleCP,RLM,100
1.0,2.787732915397128,60.41092627583067,Boston,FullCP,RLM,1
0.9,2.797529414243832,60.40602188791111,Boston,FullCP,RLM,10
0.96,2.9091112884278756,59.60086098327703,Boston,FullCP,RLM,100
1.0,2.790351294461023,0.721912502379091,Boston,SplitCP,RLM,1
0.9,2.757615420575857,0.07323034545815918,Boston,SplitCP,RLM,10
0.97,3.5901970511475674,0.007835082479957588,Boston,SplitCP,RLM,100
1.0,2.8539062976489933,0.980557933105902,Boston,RO-StabCP,RLM,1
0.9,2.8685858862723186,0.9892549612696762,Boston,RO-StabCP,RLM,10
0.97,2.990328082738377,0.9968941339079243,Boston,RO-StabCP,RLM,100
1.0,2.8568516864112143,0.9745676155509277,Boston,LOO-StabCP,RLM,1
0.9,2.8662455049434157,0.10038304281663635,Boston,LOO-StabCP,RLM,10
0.97,2.989267684483624,0.012094294381444527,Boston,LOO-StabCP,RLM,100
1.0,2.8414020038837657,0.9909855229238201,Boston,OracleCP,RLM,1
0.9,2.8413220109495714,0.9989530471761598,Boston,OracleCP,RLM,10
0.94,2.915809873604984,0.9931506290066265,Boston,OracleCP,RLM,100
1.0,2.7872003001223837,59.831244196879865,Boston,FullCP,RLM,1
0.9,2.786760837957053,60.491866708108205,Boston,FullCP,RLM,10
0.94,2.872206262438315,59.55523903638977,Boston,FullCP,RLM,100
1.0,2.7733297663895393,0.7253038461800553,Boston,SplitCP,RLM,1
0.9,2.930544606426104,0.07339389641433798,Boston,SplitCP,RLM,10
0.94,2.9034779011151466,0.007545908348453434,Boston,SplitCP,RLM,100
1.0,2.8944240874949663,0.9749004109706485,Boston,RO-StabCP,RLM,1
0.9,2.8582523940613274,0.9884533996527602,Boston,RO-StabCP,RLM,10
0.94,2.939100688465818,0.9924036614952753,Boston,RO-StabCP,RLM,100
1.0,2.88180924745653,0.972380674221334,Boston,LOO-StabCP,RLM,1
0.9,2.8588397017252967,0.10007213406825684,Boston,LOO-StabCP,RLM,10
0.94,2.937004508491484,0.012149450210341778,Boston,LOO-StabCP,RLM,100
1.0,2.8414020038838146,1.0425688129805426,Boston,OracleCP,RLM,1
1.0,2.8652482989310144,1.0004752045901013,Boston,OracleCP,RLM,10
0.89,2.79636793353036,0.9929983595218496,Boston,OracleCP,RLM,100
1.0,2.7875458081096767,59.73460674595332,Boston,FullCP,RLM,1
0.9,2.8320815479576016,59.8830523220236,Boston,FullCP,RLM,10
0.88,2.7590312828489356,60.754583231220366,Boston,FullCP,RLM,100
1.0,2.518154112606396,0.7471098698722366,Boston,SplitCP,RLM,1
1.0,3.1879561849302727,0.07306679450198036,Boston,SplitCP,RLM,10
0.87,2.6570209010446217,0.007886889562100362,Boston,SplitCP,RLM,100
1.0,2.8578088545217706,0.9716358463771969,Boston,RO-StabCP,RLM,1
1.0,2.877452201627725,1.03967885458108,Boston,RO-StabCP,RLM,10
0.89,2.812135346768486,1.0137135099599341,Boston,RO-StabCP,RLM,100
1.0,2.859516219688815,0.9786245501913335,Boston,LOO-StabCP,RLM,1
1.0,2.8770853737828856,0.10647491110519736,Boston,LOO-StabCP,RLM,10
0.89,2.8105932054357106,0.01257749883960508,Boston,LOO-StabCP,RLM,100
1.0,2.841402003883765,1.0188452537747321,Boston,OracleCP,RLM,1
0.9,2.8441295769336272,0.9983830478041308,Boston,OracleCP,RLM,10
0.89,2.8330148121246377,0.9988787588227092,Boston,OracleCP,RLM,100
1.0,2.786629679325342,59.841275601674305,Boston,FullCP,RLM,1
0.9,2.7976459969618377,60.252444301426415,Boston,FullCP,RLM,10
0.88,2.774996841825755,60.809927574861376,Boston,FullCP,RLM,100
1.0,4.127089990810114,0.6914062555713518,Boston,SplitCP,RLM,1
0.9,3.0709500756053614,0.07358983369847298,Boston,SplitCP,RLM,10
0.91,2.9842606321198537,0.007887086547203567,Boston,SplitCP,RLM,100
1.0,2.884357111421798,0.9758354076260546,Boston,RO-StabCP,RLM,1
0.9,2.8666062978753217,0.9843759609630748,Boston,RO-StabCP,RLM,10
0.89,2.8541261328176386,0.9954433386228233,Boston,RO-StabCP,RLM,100
1.0,2.8766629490935443,0.9821268257988715,Boston,LOO-StabCP,RLM,1
0.9,2.8650610431373176,0.10029721904755241,Boston,LOO-StabCP,RLM,10
0.89,2.85296573027212,0.012078338588084965,Boston,LOO-StabCP,RLM,100
1.0,2.8414020038837773,0.9814136927566126,Boston,OracleCP,RLM,1
1.0,2.8661786976374493,1.0270919082209033,Boston,OracleCP,RLM,10
0.93,2.886705472424861,1.0035924153572888,Boston,OracleCP,RLM,100
1.0,2.7874208990656557,59.66692249654249,Boston,FullCP,RLM,1
0.9,2.810187693029755,59.87506585354961,Boston,FullCP,RLM,10
0.93,2.8434134083972524,60.01536176508234,Boston,FullCP,RLM,100
1.0,2.522643983683635,0.6969211510981536,Boston,SplitCP,RLM,1
1.0,2.888236457599804,0.07287085721784536,Boston,SplitCP,RLM,10
0.93,2.9963870960994354,0.007843355854292177,Boston,SplitCP,RLM,100
1.0,2.866977405802702,0.9786087027903945,Boston,RO-StabCP,RLM,1
1.0,2.8795434295281717,0.9870672648162349,Boston,RO-StabCP,RLM,10
0.93,2.905330742157271,0.9955501045487601,Boston,RO-StabCP,RLM,100
1.0,2.865309196300774,0.9869919778871706,Boston,LOO-StabCP,RLM,1
1.0,2.8787743545161932,0.10171574021203393,Boston,LOO-StabCP,RLM,10
0.93,2.9039169553883886,0.01212797883409249,Boston,LOO-StabCP,RLM,100
1.0,2.841402003883807,0.9923008572017642,Boston,OracleCP,RLM,1
0.9,2.8522927607971456,1.0100583190323404,Boston,OracleCP,RLM,10
0.93,2.888083321545431,1.0195547092252562,Boston,OracleCP,RLM,100
1.0,2.787682858852417,59.61115549263785,Boston,FullCP,RLM,1
0.9,2.801464383586366,60.526873089996066,Boston,FullCP,RLM,10
0.91,2.846923104077257,59.92701965886313,Boston,FullCP,RLM,100
1.0,2.4409631857315084,0.719662171445741,Boston,SplitCP,RLM,1
0.9,2.6938366495836283,0.07318824323181612,Boston,SplitCP,RLM,10
0.91,2.8037920685423705,0.007599488296525048,Boston,SplitCP,RLM,100
1.0,2.8630503250211716,0.9832044490627292,Boston,RO-StabCP,RLM,1
0.9,2.882024028572216,0.9890363535559717,Boston,RO-StabCP,RLM,10
0.93,2.9059659567931515,1.0286786652354807,Boston,RO-StabCP,RLM,100
1.0,2.862606504991902,0.9838700399021708,Boston,LOO-StabCP,RLM,1
0.9,2.878991928678357,0.10077167875211074,Boston,LOO-StabCP,RLM,10
