Coverage,Length,Time,DGP,Method,Algorithm
0.94,3.585115855998546,1.1455058115380992,Linear,OracleCP,RLM
0.94,3.615145432685602,57.14296896036639,Linear,FullCP,RLM
0.94,3.589891471636487,0.01010498629319757,Linear,SplitCP,RLM
0.94,3.7175929930717513,1.1193461654668444,Linear,RO-StabCP,RLM
0.94,3.7175372714880877,0.009264177913822806,Linear,LOO-StabCP,RLM
0.89,3.3089190793891508,1.4119432200100366,Linear,OracleCP,RLM
0.89,3.355675793072706,54.14408608027953,Linear,FullCP,RLM
0.89,3.437418083886836,0.00433438757666451,Linear,SplitCP,RLM
0.89,3.4978919226999663,0.9405950842797703,Linear,RO-StabCP,RLM
0.89,3.4974148815412462,0.009238053193353031,Linear,LOO-StabCP,RLM
0.91,3.4434849465657145,0.861094873305514,Linear,OracleCP,RLM
0.91,3.4949486031410233,48.83290993514569,Linear,FullCP,RLM
0.95,4.032010134442213,0.004448335825522042,Linear,SplitCP,RLM
0.93,3.6483551142875696,0.9200143630007509,Linear,RO-StabCP,RLM
0.93,3.647819206201242,0.01181087495536228,Linear,LOO-StabCP,RLM
0.87,3.094301551838571,0.9822029631071135,Linear,OracleCP,RLM
0.86,3.1437690159295557,55.98171392594168,Linear,FullCP,RLM
0.94,3.566027904846824,0.0060562104654987275,Linear,SplitCP,RLM
0.9,3.28137518566155,1.0148718334137152,Linear,RO-StabCP,RLM
0.9,3.280967035195201,0.013629970739562684,Linear,LOO-StabCP,RLM
0.92,3.401839083490502,1.260444205829606,Linear,OracleCP,RLM
0.92,3.4014184655265898,52.3221607665142,Linear,FullCP,RLM
0.82,2.7938340870182397,0.00430020310200725,Linear,SplitCP,RLM
0.93,3.5160592931161854,0.987080967207596,Linear,RO-StabCP,RLM
0.93,3.51631835322358,0.012008107330823813,Linear,LOO-StabCP,RLM
0.94,3.7059049565581703,0.98560547634617,Linear,OracleCP,RLM
0.94,3.6691087408574385,52.34956087360351,Linear,FullCP,RLM
0.94,3.7278136811769316,0.006267153687164256,Linear,SplitCP,RLM
0.94,3.7960254704773733,0.9233720380670862,Linear,RO-StabCP,RLM
0.94,3.7964876263885845,0.00926908787901748,Linear,LOO-StabCP,RLM
0.95,3.4229949957703445,0.9738422187891108,Linear,OracleCP,RLM
0.94,3.39457682188511,58.50616808402246,Linear,FullCP,RLM
0.94,3.3533618565894026,0.004514759316929237,Linear,SplitCP,RLM
0.95,3.597606902068192,0.9464395177559289,Linear,RO-StabCP,RLM
0.95,3.597218798729663,0.011928899401739919,Linear,LOO-StabCP,RLM
0.95,3.6198912002662835,1.0911760276096496,Linear,OracleCP,RLM
0.95,3.8138532290736045,53.88178712398073,Linear,FullCP,RLM
0.95,3.85112253114629,0.00740830371108871,Linear,SplitCP,RLM
0.95,3.9197546658868934,1.0374788880644914,Linear,RO-StabCP,RLM
0.95,3.9195689205690276,0.012649274672566073,Linear,LOO-StabCP,RLM
0.89,3.0339386273451816,1.0376843654758459,Linear,OracleCP,RLM
0.86,3.0482015622829413,75.14427995257127,Linear,FullCP,RLM
0.89,3.189397700450794,0.012040809551837396,Linear,SplitCP,RLM
0.89,3.259720270684066,1.5548524816845168,Linear,RO-StabCP,RLM
0.89,3.259304960153244,0.014819108725201122,Linear,LOO-StabCP,RLM
0.89,3.252918414240769,0.924759149555008,Linear,OracleCP,RLM
0.88,3.2228040661409283,52.31140692368848,Linear,FullCP,RLM
0.94,3.9243401288752273,0.004330496660849862,Linear,SplitCP,RLM
0.9,3.3346809963511106,0.9707254099398728,Linear,RO-StabCP,RLM
0.9,3.3341192798686285,0.012379967713680832,Linear,LOO-StabCP,RLM
0.96,3.7610820979340893,1.0737916010315105,Linear,OracleCP,RLM
0.96,3.716891849171325,59.31381492903581,Linear,FullCP,RLM
0.99,4.995471520758373,0.004573771540118056,Linear,SplitCP,RLM
0.96,3.858139760566837,1.1549878807375422,Linear,RO-StabCP,RLM
0.96,3.8579468732355524,0.010176875594915818,Linear,LOO-StabCP,RLM
0.89,2.9367585526101694,0.9860186545493445,Linear,OracleCP,RLM
0.88,2.88028209661598,60.63517725831744,Linear,FullCP,RLM
0.89,2.9458497374964243,0.0089965384902867,Linear,SplitCP,RLM
0.92,3.024260030977116,0.9931475534486004,Linear,RO-StabCP,RLM
0.92,3.0236620767431845,0.009194975196833719,Linear,LOO-StabCP,RLM
0.94,3.7297718543812475,0.9757612740534065,Linear,OracleCP,RLM
0.94,3.6769945817490135,55.59420187101598,Linear,FullCP,RLM
0.94,3.9580589643789437,0.0074145106482216006,Linear,SplitCP,RLM
0.94,3.8155685053097907,0.9759726804793357,Linear,RO-StabCP,RLM
0.94,3.816440632093458,0.011350635199001126,Linear,LOO-StabCP,RLM
0.94,2.999004210600083,1.0003714092219043,Linear,OracleCP,RLM
0.94,3.168980628190336,62.33101587021462,Linear,FullCP,RLM
0.97,3.81461270642139,0.0045236528387912886,Linear,SplitCP,RLM
0.96,3.3306390296012536,1.0700109278316112,Linear,RO-StabCP,RLM
0.96,3.3299325205282195,0.01038087075262662,Linear,LOO-StabCP,RLM
0.93,3.488625261698608,0.9642970611689589,Linear,OracleCP,RLM
0.93,3.411475131501402,56.37518112016256,Linear,FullCP,RLM
0.96,4.198120127619046,0.0075299411507228076,Linear,SplitCP,RLM
0.93,3.570775617256708,0.9934762431940855,Linear,RO-StabCP,RLM
0.93,3.5700573958768906,0.009568410474187144,Linear,LOO-StabCP,RLM
0.92,3.2894555238617973,0.9884365808055897,Linear,OracleCP,RLM
0.91,3.3125319229916683,49.526924158686754,Linear,FullCP,RLM
0.96,3.9556036806339936,0.004586555977794755,Linear,SplitCP,RLM
0.92,3.439075028504157,0.9779162855696049,Linear,RO-StabCP,RLM
0.92,3.439119516981506,0.012198576924036078,Linear,LOO-StabCP,RLM
0.88,2.967853960266025,0.972531906568102,Linear,OracleCP,RLM
0.88,3.1444136165592864,52.79761733878132,Linear,FullCP,RLM
0.86,2.8489634921272806,0.004314840356738543,Linear,SplitCP,RLM
0.88,3.2887164638309554,0.9825017298571669,Linear,RO-StabCP,RLM
0.88,3.288653656672913,0.009224064424590846,Linear,LOO-StabCP,RLM
0.89,2.969334779120097,0.9808751417649387,Linear,OracleCP,RLM
0.88,2.9441199498023485,54.20583889781465,Linear,FullCP,RLM
0.88,2.9071958104849993,0.004318916554258649,Linear,SplitCP,RLM
0.89,3.0576036245293943,0.9792385484606159,Linear,RO-StabCP,RLM
