Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
1.0,2.8414020038837906,0.01741480827331543,Boston,OracleCP,RLM,1,-1.7590813025034477
0.89,2.8082358836156502,1.2341082096099854,Boston,OracleCP,RLM,100,0.0913532413634583
1.0,2.787732915397128,0.9246928691864014,Boston,FullCP,RLM,1,-0.03400249144111775
0.87,2.7877201972510433,75.44077801704407,Boston,FullCP,RLM,100,1.8776061586100612
1.0,2.749276188630495,0.012190103530883789,Boston,SplitCP,RLM,1,-1.9139926058910028
0.87,2.7477532828883495,0.009490966796875,Boston,SplitCP,RLM,100,-2.0226895459328804
1.0,2.8539062976489933,0.01549220085144043,Boston,RO-StabCP,RLM,1,-1.8098868811600826
0.88,2.8257316392724277,1.1958279609680176,Boston,RO-StabCP,RLM,100,0.0776687039195132
1.0,2.8568516864112143,0.01629805564880371,Boston,LOO-StabCP,RLM,1,-1.7878642036551196
0.88,2.8243133213108456,0.01464390754699707,Boston,LOO-StabCP,RLM,100,-1.8343430216612902
1.0,2.841402003883806,0.01575493812561035,Boston,OracleCP,RLM,1,-1.802583298091934
0.95,2.9305405278659764,1.2335107326507568,Boston,OracleCP,RLM,100,0.0911429325940741
1.0,2.7873510512968247,1.0136818885803223,Boston,FullCP,RLM,1,0.005901687039204052
0.94,2.886506873799104,74.09702777862549,Boston,FullCP,RLM,100,1.8698007876658242
1.0,2.8386056554304098,0.01405191421508789,Boston,SplitCP,RLM,1,-1.852264510177171
0.95,3.9265735235245613,0.009155035018920898,Boston,SplitCP,RLM,100,-2.038339990139453
1.0,2.8645536453024754,0.017410755157470703,Boston,RO-StabCP,RLM,1,-1.759182391799954
0.95,2.9499164647695033,1.1989848613739014,Boston,RO-StabCP,RLM,100,0.07881369964323207
1.0,2.863785692421501,0.01717400550842285,Boston,LOO-StabCP,RLM,1,-1.7651284021408458
0.95,2.9488769402368553,0.014634847640991211,Boston,LOO-StabCP,RLM,100,-1.8346117945162306
0.0,2.841402003883779,0.01684117317199707,Boston,OracleCP,RLM,1,-1.7736276584196211
0.88,2.798871642653343,1.2816550731658936,Boston,OracleCP,RLM,100,0.10777116092661636
0.0,2.782502268023483,0.963263988494873,Boston,FullCP,RLM,1,-0.01625467545586791
0.87,2.7631408352848528,77.3932089805603,Boston,FullCP,RLM,100,1.8887028543306763
0.0,2.7468720615955142,0.011533975601196289,Boston,SplitCP,RLM,1,-1.9380209716243606
0.88,2.8623258295400715,0.010615110397338867,Boston,SplitCP,RLM,100,-1.9740754848040802
