FDP,Power,Time,Method,q,LogTime
0.22641509433962265,0.9318181818181818,0.0042188167572021484,cfBH,0.1,-2.3748093376340527
0.2786885245901639,1.0,0.0036668777465820312,cfBH,0.2,-2.435703569142174
0.3230769230769231,1.0,0.003659963607788086,cfBH,0.3,-2.4365232329158064
0.038461538461538464,0.5681818181818182,0.2944669723510742,RO-cfBH,0.1,-0.5309634089585449
0.22448979591836735,0.8636363636363636,0.29548192024230957,RO-cfBH,0.2,-0.5294690873012162
0.2631578947368421,0.9545454545454546,0.30379319190979004,RO-cfBH,0.3,-0.5174219630247159
0.125,0.7954545454545454,0.005942106246948242,LOO-cfBH,0.1,-2.226059587124947
0.2711864406779661,0.9772727272727273,0.0059697628021240234,LOO-cfBH,0.2,-2.22404292444436
0.3230769230769231,1.0,0.005977153778076172,LOO-cfBH,0.3,-2.22350557064937
0.12195121951219512,0.8181818181818182,0.003793001174926758,cfBH,0.1,-2.421017022769361
0.2786885245901639,1.0,0.0036268234252929688,cfBH,0.2,-2.4404735878680412
0.3230769230769231,1.0,0.0036118030548095703,cfBH,0.3,-2.4422759390178226
0.038461538461538464,0.5681818181818182,0.29698729515075684,RO-cfBH,0.1,-0.5272621290125452
0.22448979591836735,0.8636363636363636,0.2948179244995117,RO-cfBH,0.2,-0.5304461155396464
0.2631578947368421,0.9545454545454546,0.2946808338165283,RO-cfBH,0.3,-0.5306481099539634
0.125,0.7954545454545454,0.0059909820556640625,LOO-cfBH,0.1,-2.222501981217138
0.2711864406779661,0.9772727272727273,0.005964756011962891,LOO-cfBH,0.2,-2.224407316423704
0.3230769230769231,1.0,0.006158113479614258,LOO-cfBH,0.3,-2.2105523123285358
0.19230769230769232,0.9545454545454546,0.0036728382110595703,cfBH,0.1,-2.434998201954627
0.29508196721311475,0.9772727272727273,0.0036208629608154297,cfBH,0.2,-2.441187911661279
0.3230769230769231,1.0,0.003988981246948242,cfBH,0.3,-2.3991380053963627
0.038461538461538464,0.5681818181818182,0.2969777584075928,RO-cfBH,0.1,-0.5272760751358299
0.22448979591836735,0.8636363636363636,0.32053399085998535,RO-cfBH,0.2,-0.49412590917111526
0.2631578947368421,0.9545454545454546,0.32593584060668945,RO-cfBH,0.3,-0.4868678809528346
