Coverage,Length,Time,DGP,Method,Algorithm,LogTime
0.94,3.585115855998546,3.50669002532959,Linear,OracleCP,RLM,0.5448973780176276
0.94,3.615145432685602,190.81945395469666,Linear,FullCP,RLM,2.2806226487458985
0.91,3.4900868587057405,0.02649712562561035,Linear,SplitCP,RLM,-1.5768012352195033
0.94,3.7175929930717513,3.6503491401672363,Linear,RO-StabCP,RLM,0.5623344048390635
0.94,3.7175372714880877,0.04144573211669922,Linear,LOO-StabCP,RLM,-1.3825201843802186
0.9,3.369777113192275,3.4333949089050293,Linear,OracleCP,RLM,0.5357237588276089
0.88,3.314677759944475,210.63176822662354,Linear,FullCP,RLM,2.323523873616
0.9,3.4129132509508353,0.020776987075805664,Linear,SplitCP,RLM,-1.6824174303698718
0.9,3.47500460884273,4.005298852920532,Linear,RO-StabCP,RLM,0.6026349262459894
0.9,3.474726915244773,0.03965902328491211,Linear,LOO-StabCP,RLM,-1.4016579857231608
0.88,3.044792225427416,3.661578893661499,Linear,OracleCP,RLM,0.563668396034722
0.87,3.1382410664855143,247.86495995521545,Linear,FullCP,RLM,2.3942151359905375
0.85,2.9846796255699473,0.017923831939697266,Linear,SplitCP,RLM,-1.7465691368413578
0.89,3.3144999728209656,3.7776761054992676,Linear,RO-StabCP,RLM,0.5772247191695934
0.89,3.3139248363163616,0.04998922348022461,Linear,LOO-StabCP,RLM,-1.3011236094140994
0.89,3.359184685363618,4.187917947769165,Linear,OracleCP,RLM,0.621998164129019
0.87,3.2863783854285247,224.8694670200348,Linear,FullCP,RLM,2.3519304905404685
0.93,3.98914028312021,0.04211997985839844,Linear,SplitCP,RLM,-1.3755118451643409
0.91,3.465828516655979,4.170644998550415,Linear,RO-StabCP,RLM,0.6202032246739158
0.91,3.464949434321607,0.028696775436401367,Linear,LOO-StabCP,RLM,-1.542166900787062
0.9,3.0349475821920864,3.5449860095977783,Linear,OracleCP,RLM,0.549614525565214
0.9,3.260091858575488,206.5420742034912,Linear,FullCP,RLM,2.3150085341190376
0.9,3.3060499999473554,0.03289318084716797,Linear,SplitCP,RLM,-1.4828941271990967
0.9,3.3594028259769453,3.704522132873535,Linear,RO-StabCP,RLM,0.5687321938427187
0.9,3.3586678223913338,0.03693103790283203,Linear,LOO-StabCP,RLM,-1.4326084868483804
0.92,3.207451732341119,3.922208070755005,Linear,OracleCP,RLM,0.5935306290012768
0.92,3.240318181606995,211.05761694908142,Linear,FullCP,RLM,2.324401030213537
0.93,3.380072939716013,0.045588016510009766,Linear,SplitCP,RLM,-1.3411493031149304
0.93,3.39271161454556,3.562577962875366,Linear,RO-StabCP,RLM,0.5517643771502035
